asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
1982182911,,ABIS_BOOK,0.809666667,1.235076163,0.749666667,0.867941307,1.152151639,,,,,,,,,,,,,,,,same
B004GVZUUY,"Trusted Media Brands, Inc.",MAGAZINES,1.333333333,0.5,2,0.75,1.333333333,2.796,0.357653791,0.5,2,1.5,0.766666667,1.304347826,0.666666667,0.5,2,1,0.5,2,0.8,1.25,up
B08PDQ41B3,SABRE,SELF_DEFENSE_SPRAY,0.950485437,1.039836568,0.967583497,1.033502538,1.068762279,1.011029412,1.069090909,0.889455782,1.079349904,1.062001771,0.959132611,0.949565217,1.053113553,0.923478261,1.082862524,0.951304348,1.0511883,0.923478261,1.012241055,1.025116279,up
B00BWF5U0M,SABRENT,MULTIPORT_HUB,1,1.001430615,0.998571429,1.001430615,1.521428571,1.584976526,1,1,1.118483412,1,1,0.635063559,0.513761468,1,1,1.297077922,2.362953692,0.894067797,1,1.118483412,up
B099TS4S98,,ABIS_MUSIC,0.85035035,,,,,,,,,,,,,,,,,,,,up
B094T63GRQ,Simple Modern,THERMOS,0.998635744,1,1.00136612,1,1,,,,,,,,,,,,,,,,up
B079RDDVP6,Sparkling ICE,WATER,0.995343423,1.187719298,1.122107336,0.927161036,1.036441079,1.001826484,0.960802188,1.036527514,1.154691076,0.435592549,1,1,1,1,1,0.908098271,1.101202405,1,0.908098271,1.101202405,down
B07XC6WRJQ,Sparkling ICE,WATER,1.952615992,1.010616785,0.786893447,1.061029879,0.597962852,1.672344689,0.597962852,1.672344689,0.981426004,0.609279609,1.52004008,0.953856295,0.689702833,1.4498998,0.884588804,0.7796875,1.167334669,1.014592275,0.929780034,0.908098271,down
B00F9VCQ2A,Sparkling ICE,WATER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,same
B00GZFYANC,Sparkling ICE,WATER,0.902661064,1,1.107835531,0.902661064,1,1,1,1,1,1,1,1.107835531,0.902661064,1,1,1.107835531,0.769607843,1.299363057,0.769607843,1.299363057,same
B006FUL4AE,Sparkling ICE,WATER,1.724233983,0.768982229,0.888655462,1.125295508,0.888655462,0.945626478,1,1.0575,0.945626478,1.19,0.979691877,0.949249464,1.075301205,0.841036415,0.999167361,1.000833333,0.999167361,1.000833333,1.840965862,0.953414744,up
B009S2XFTO,Sparkling ICE,WATER,1.125295508,0.888655462,1,1,0.909377463,1.145580589,1.186838124,0.951561504,0.993971869,0.808625337,1.801666667,0.555041628,1.74,1.307471264,0.804029304,1.243735763,0.804029304,1.243735763,0.842490842,0.869565217,up
B0784DMYGK,Sparkling ICE,WATER,0.995869902,0.78278901,1.277483444,0.622083981,1.570833333,0.932095491,1.025611838,0.837957825,1,1,1,1,1,1,0.786754967,1,1,1.18013468,0.847360913,1.18013468,down
